0.1,-63.606,-63.606,-63.606,-63.606,-63.606,-63.606,-63.606
0.2,-62.2297,-62.2355,-62.2297,-62.2297,-62.229,-62.2317,-62.229
0.3,-60.8557,-60.8733,-60.8557,-60.8557,-60.8538,-60.862,-60.8538
0.4,-59.4689,-59.5048,-59.4689,-59.4689,-59.4651,-59.4822,-59.4651
0.5,-58.0538,-58.115,-58.0538,-58.0538,-58.0474,-58.0771,-58.0474
0.6,-56.5936,-56.6881,-56.5936,-56.5936,-56.5839,-56.6307,-56.5839
0.7,-55.0696,-55.2066,-55.0696,-55.0696,-55.0558,-55.1249,-55.0558
0.8,-53.4603,-53.6504,-53.4603,-53.4603,-53.4414,-53.5391,-53.4414
0.9,-51.7396,-51.996,-51.7396,-51.7396,-51.7145,-51.8485,-51.7145
1,-49.8756,-50.2143,-49.8756,-49.8756,-49.8429,-50.023,-49.8429
1.1,-47.8278,-48.2692,-47.8278,-47.8278,-47.7858,-48.0243,-47.7858
1.2,-45.5432,-46.114,-45.5432,-45.5432,-45.4896,-45.8028,-45.4896
1.3,-42.9513,-43.6867,-42.9513,-42.9513,-42.8831,-43.2927,-42.8831
1.4,-39.9543,-40.9033,-39.9543,-39.9543,-39.8674,-40.4035,-39.8674
1.5,-36.4137,-37.6455,-36.4137,-36.4137,-36.3019,-37.0077,-36.3019
1.6,-32.1244,-33.7417,-32.1244,-32.1244,-31.9789,-32.9181,-31.9789
1.7,-26.7712,-28.9328,-26.7712,-26.7712,-26.5779,-27.8499,-26.5779
1.8,-19.8423,-22.8085,-19.8423,-19.8423,-19.5779,-21.3465,-19.5779
1.9,-10.4533,-14.6802,-10.4533,-10.4533,-10.0761,-12.6306,-10.0761
2,3.05758,-3.30394,3.05758,3.05758,3.62951,-0.271545,3.62951
2.1,24.1793,13.7961,24.1793,24.1793,25.1288,18.6514,25.1288
2.2,30,30,30,30,30,30,30
2.3,-64.4583,-64.0562,-48.2106,-53.8379,-63.6592,-64.0192,-63.8535
2.4,-63.9254,-63.1285,-46.219,-52.5976,-62.3351,-63.0514,-62.7223
2.5,-63.3988,-62.21,-43.9695,-51.2613,-61.0136,-62.0892,-61.596
2.6,-62.8763,-61.2941,-41.3863,-49.8068,-59.6806,-61.1254,-60.4645
2.7,-62.3558,-60.3742,-38.3642,-48.2063,-58.3219,-60.1528,-59.3176
2.8,-61.8349,-59.4435,-34.7515,-46.424,-56.9221,-59.164,-58.1445
2.9,-61.3116,-58.4952,-30.3219,-44.413,-55.4642,-58.1511,-56.9335
3,-60.7838,-57.5217,-24.7224,-42.1101,-53.9284,-57.1054,-55.6717
3.1,-60.2491,-56.5148,-17.3721,-39.4287,-52.2916,-56.0174,-54.3439
3.2,-59.7051,-55.465,-7.24767,-36.2461,-50.5251,-54.8759,-52.9324
3.3,-59.1495,-54.3618,7.62073,-32.3829,-48.5932,-53.668,-51.4158
3.4,-58.5793,-53.1924,30,-27.5662,-46.4494,-52.3781,-49.7673
3.5,-57.9918,-51.9416,-48.4466,-21.3605,-44.0326,-50.9872,-47.9533
3.6,-57.3836,-50.5909,-46.7197,-13.0289,-41.2594,-49.4719,-45.9298
3.7,-56.7509,-49.1172,-44.7753,-1.22618,-38.0128,-47.8021,-43.639
3.8,-56.0897,-47.4912,-42.5545,16.7641,-34.1231,-45.9394,-41.0016
3.9,-55.395,-45.6752,-39.9768,30,-29.3343,-43.8327,-37.9071
4,-54.6614,-43.6192,-36.9291,-54.2771,-23.2418,-41.4133,-34.1956
4.1,-53.8822,-41.2561,-33.247,-53.507,-15.1675,-38.5857,-29.6268
